"Date","Description","Amount","Category","Account"
"2025-06-02","Generic Transaction",-1693.17,"Rent/Mortgage","Credit Card"
"2025-06-02","Generic Transaction - Payment",-153.6,"Gifts & Donations","Checking Account"
"2025-06-03","Medical Clinic - Purchase",-212.04,"Healthcare","Credit Card"
"2025-06-03","Whole Foods - Purchase",-85.93,"Groceries","Checking Account"
"2025-06-04","AMC Theaters - Transfer",-119.21,"Entertainment","Credit Card"
"2025-06-05","Nordstrom",-368.41,"Shopping","Checking Account"
"2025-06-05","Internet Provider - Payment",-102.75,"Bills & Utilities","Credit Card"
"2025-06-05","Rent Payment - Apartment",-1500,"Rent/Mortgage","Checking Account"
"2025-06-06","Generic Transaction - Payment",-95.76,"Personal Care","Credit Card"
"2025-06-07","Generic Transaction",-101.62,"Insurance","Checking Account"
"2025-06-07","Macys - Transaction",-353.24,"Shopping","Credit Card"
"2025-06-07","Chipotle",-10.99,"Food & Dining","Checking Account"
"2025-06-08","Generic Transaction",-124.55,"Personal Care","Credit Card"
"2025-06-09","AMC Theaters - Transaction",-38.56,"Entertainment","Credit Card"
"2025-06-10","Generic Transaction - Transaction",-148,"Education","Checking Account"
"2025-06-10","Investment Return - Payment",423.96,"Investments","Checking Account"
"2025-06-10","Walmart",-180.52,"Groceries","Checking Account"
"2025-06-11","Generic Transaction - Purchase",-1771.96,"Rent/Mortgage","Checking Account"
"2025-06-11","Generic Transaction",-197.08,"Gifts & Donations","Checking Account"
"2025-06-12","Medical Clinic - Purchase",-404.72,"Healthcare","Checking Account"
"2025-06-12","Walmart - Transfer",-58.41,"Groceries","Credit Card"
"2025-06-15","Generic Transaction - Payment",-158.4,"Gifts & Donations","Checking Account"
"2025-06-15","Generic Transaction - Transfer",-163.67,"Gifts & Donations","Checking Account"
"2025-06-15","Generic Transaction - Purchase",-199.61,"Insurance","Checking Account"
"2025-06-15","Monthly Salary - Purchase",4037.69,"Salary","Credit Card"
"2025-06-16","Red Lobster",-23.89,"Food & Dining","Checking Account"
"2025-06-16","Generic Transaction - Transaction",-60.51,"Gifts & Donations","Credit Card"
"2025-06-16","Generic Transaction",-45.58,"Personal Care","Checking Account"
"2025-06-16","Generic Transaction - Transaction",483.52,"Other Income","Checking Account"
"2025-06-17","Generic Transaction - Transaction",-472.52,"Education","Checking Account"
"2025-06-18","Generic Transaction - Purchase",-369.06,"Insurance","Checking Account"
"2025-06-19","Software License",-88.45,"Subscription","Checking Account"
"2025-06-19","Generic Transaction",-623.44,"Education","Checking Account"
"2025-06-20","Generic Transaction - Purchase",-600.41,"Education","Credit Card"
"2025-06-20","Generic Transaction - Transaction",-844.28,"Rent/Mortgage","Checking Account"
"2025-06-20","Generic Transaction - Payment",-359.13,"Insurance","Credit Card"
"2025-06-22","Generic Transaction - Payment",-799.71,"Education","Checking Account"
"2025-06-24","Netflix - Transfer",-39.77,"Entertainment","Checking Account"
"2025-06-25","Water Utility - Transfer",-297.36,"Bills & Utilities","Credit Card"
"2025-06-25","Generic Transaction - Transfer",-121.59,"Gifts & Donations","Checking Account"
"2025-06-27","Apple Store",-95.62,"Shopping","Checking Account"
"2025-06-28","Generic Transaction - Transaction",-37.22,"Gifts & Donations","Credit Card"
"2025-06-28","Generic Transaction - Transaction",-708.55,"Education","Checking Account"
"2025-06-28","Olive Garden - Payment",-56.18,"Food & Dining","Checking Account"
"2025-06-29","Generic Transaction - Transaction",-1263.26,"Travel","Checking Account"
"2025-06-30","Consulting Fee - Purchase",1863.59,"Freelance","Credit Card"
"2025-07-01","Walgreens - Transfer",-138.95,"Healthcare","Checking Account"
"2025-07-01","Generic Transaction - Transaction",-124.66,"Gifts & Donations","Checking Account"
"2025-07-01","Generic Transaction - Purchase",813.04,"Other Income","Checking Account"
"2025-07-01","Generic Transaction - Payment",-127.98,"Personal Care","Checking Account"
"2025-07-01","Monthly Salary Deposit",5000,"Salary","Checking Account"
"2025-07-02","Generic Transaction - Transaction",-815.32,"Education","Checking Account"
"2025-07-04","Costco",-137.6,"Groceries","Checking Account"
"2025-07-04","Generic Transaction - Payment",-1400.18,"Travel","Checking Account"
"2025-07-05","Generic Transaction - Transfer",-892.76,"Education","Checking Account"
"2025-07-05","Rent Payment - Apartment",-1500,"Rent/Mortgage","Checking Account"
"2025-07-06","Walgreens - Payment",-229.46,"Healthcare","Checking Account"
"2025-07-07","Generic Transaction - Purchase",-877.27,"Education","Checking Account"
"2025-07-07","Generic Transaction - Payment",-102.21,"Insurance","Checking Account"
"2025-07-08","Gym Membership",-28.31,"Subscription","Checking Account"
"2025-07-08","Magazine Subscription",-10.64,"Subscription","Checking Account"
"2025-07-08","Generic Transaction - Transaction",-310.47,"Insurance","Checking Account"
"2025-07-08","Home Depot - Payment",-286.05,"Shopping","Checking Account"
"2025-07-09","Olive Garden - Transfer",-30.63,"Food & Dining","Checking Account"
"2025-07-11","Concert Tickets",-43.05,"Entertainment","Credit Card"
"2025-07-12","Generic Transaction - Purchase",-2874.22,"Rent/Mortgage","Checking Account"
"2025-07-12","Interest Payment",933.07,"Investments","Checking Account"
"2025-07-13","Nike Store - Transfer",-302.3,"Shopping","Credit Card"
"2025-07-13","Subway",-19.01,"Food & Dining","Checking Account"
"2025-07-13","Cloud Storage - Transaction",-56.35,"Subscription","Checking Account"
"2025-07-13","Generic Transaction - Payment",-247.07,"Gifts & Donations","Checking Account"
"2025-07-14","Generic Transaction - Transfer",-225.92,"Education","Checking Account"
"2025-07-15","Generic Transaction - Transaction",-1613.4,"Travel","Credit Card"
"2025-07-15","Generic Transaction - Purchase",-118.83,"Gifts & Donations","Checking Account"
"2025-07-15","Investment Return",885.32,"Investments","Checking Account"
"2025-07-16","Red Lobster - Transaction",-36.07,"Food & Dining","Credit Card"
"2025-07-16","Generic Transaction - Transaction",-2878.96,"Rent/Mortgage","Checking Account"
"2025-07-17","Generic Transaction - Transfer",-823.72,"Travel","Checking Account"
"2025-07-18","Medical Clinic - Transfer",-447.22,"Healthcare","Credit Card"
"2025-07-18","Apple Store - Transfer",-43.33,"Shopping","Checking Account"
"2025-07-18","Phone Bill - Transaction",-224.11,"Bills & Utilities","Credit Card"
"2025-07-20","Generic Transaction",-119.66,"Personal Care","Credit Card"
"2025-07-21","Internet Provider - Transfer",-74.05,"Bills & Utilities","Checking Account"
"2025-07-22","Generic Transaction - Transfer",-56.77,"Personal Care","Checking Account"
"2025-07-22","Generic Transaction - Purchase",-98.66,"Gifts & Donations","Checking Account"
"2025-07-23","Costco - Transfer",-56.44,"Groceries","Checking Account"
"2025-07-23","Generic Transaction - Transfer",-168.47,"Insurance","Checking Account"
"2025-07-23","Generic Transaction - Transaction",-30.34,"Personal Care","Credit Card"
"2025-07-24","Walgreens - Transaction",-401.15,"Healthcare","Credit Card"
"2025-07-24","Macys",-435.11,"Shopping","Credit Card"
"2025-07-25","Generic Transaction - Transaction",-28.61,"Personal Care","Checking Account"
"2025-07-26","Generic Transaction - Payment",-1715.11,"Travel","Checking Account"
"2025-07-26","Generic Transaction",-131.04,"Personal Care","Checking Account"
"2025-07-27","Generic Transaction - Payment",177.18,"Other Income","Credit Card"
"2025-07-27","Red Lobster - Purchase",-71.25,"Food & Dining","Checking Account"
"2025-07-28","Consulting Fee - Payment",1146.31,"Freelance","Credit Card"
"2025-07-28","Generic Transaction - Transfer",-771.6,"Education","Checking Account"
"2025-07-29","Electric Company - Purchase",-226.15,"Bills & Utilities","Checking Account"
"2025-07-29","Generic Transaction",-143.57,"Gifts & Donations","Credit Card"
"2025-07-30","Generic Transaction - Payment",-1768.6,"Travel","Checking Account"
"2025-08-02","Contract Work - Transaction",1023.51,"Freelance","Checking Account"
"2025-08-02","McDonalds - Purchase",-72.49,"Food & Dining","Checking Account"
"2025-08-03","Medical Clinic - Payment",-147.47,"Healthcare","Checking Account"
"2025-08-03","Gym Membership",-76.55,"Subscription","Credit Card"
"2025-08-04","Generic Transaction - Purchase",-229.44,"Education","Credit Card"
"2025-08-04","Monthly Salary - Payment",7111.6,"Salary","Checking Account"
"2025-08-06","Kroger - Transaction",-192.78,"Groceries","Checking Account"
"2025-08-06","Concert Tickets - Transaction",-34.6,"Entertainment","Checking Account"
"2025-08-06","Generic Transaction - Transfer",-1639.49,"Travel","Checking Account"
"2025-08-08","AMC Theaters",-49.61,"Entertainment","Credit Card"
"2025-08-08","Generic Transaction - Transaction",-2587.51,"Rent/Mortgage","Checking Account"
"2025-08-09","Metro Transit - Transaction",-39.55,"Transportation","Checking Account"
"2025-08-09","Car Rental - Payment",-5.2,"Transportation","Checking Account"
"2025-08-11","Generic Transaction - Payment",-1283.36,"Travel","Checking Account"
"2025-08-11","Apple Store - Transaction",-381.62,"Shopping","Checking Account"
"2025-08-12","Walmart - Payment",-72.44,"Groceries","Checking Account"
"2025-08-12","Chevron - Transfer",-79.89,"Transportation","Checking Account"
"2025-08-13","Costco - Purchase",-243.26,"Groceries","Checking Account"
"2025-08-14","Generic Transaction - Purchase",-130.65,"Gifts & Donations","Checking Account"
