"Date","Description","Amount","Category","Account"
"2025-03-05","Rent Payment - Apartment",-1500,"Rent/Mortgage","Checking Account"
"2025-03-06","Generic Transaction",-126.62,"Personal Care","Checking Account"
"2025-03-06","Airlines",-57.73,"Transportation","Checking Account"
"2025-03-06","Medical Clinic - Transfer",-145.87,"Healthcare","Checking Account"
"2025-03-07","Generic Transaction",736.9,"Other Income","Checking Account"
"2025-03-07","Generic Transaction - Purchase",246.9,"Other Income","Checking Account"
"2025-03-07","Internet Provider - Purchase",-250.37,"Bills & Utilities","Checking Account"
"2025-03-08","Lyft - Purchase",-63.23,"Transportation","Checking Account"
"2025-03-08","Generic Transaction - Transaction",-424.93,"Education","Credit Card"
"2025-03-08","Disney+ - Transaction",-99.71,"Entertainment","Checking Account"
"2025-03-08","Starbucks - Payment",-18.44,"Food & Dining","Checking Account"
"2025-03-09","Internet Provider - Purchase",-62.03,"Bills & Utilities","Checking Account"
"2025-03-10","Magazine Subscription - Purchase",-40.24,"Subscription","Checking Account"
"2025-03-10","Chipotle - Payment",-76.09,"Food & Dining","Checking Account"
"2025-03-10","Generic Transaction - Transaction",284.9,"Other Income","Credit Card"
"2025-03-11","Generic Transaction - Transfer",-177.44,"Insurance","Checking Account"
"2025-03-11","Shell Gas Station - Transfer",-51.64,"Transportation","Checking Account"
"2025-03-11","Hospital - Purchase",-329.99,"Healthcare","Checking Account"
"2025-03-11","Generic Transaction - Transfer",-117.83,"Personal Care","Checking Account"
"2025-03-12","Generic Transaction",-263.13,"Gifts & Donations","Checking Account"
"2025-03-12","Monthly Salary - Transaction",6644.34,"Salary","Checking Account"
"2025-03-12","Phone Bill - Transfer",-129.44,"Bills & Utilities","Checking Account"
"2025-03-12","Generic Transaction - Payment",-65.11,"Personal Care","Checking Account"
"2025-03-14","Generic Transaction - Transaction",-185.81,"Insurance","Checking Account"
"2025-03-15","Generic Transaction - Payment",-110.08,"Personal Care","Checking Account"
"2025-03-15","Magazine Subscription - Transfer",-49.77,"Subscription","Checking Account"
"2025-03-16","Netflix - Purchase",-148.08,"Entertainment","Checking Account"
"2025-03-17","Generic Transaction - Transfer",-73.38,"Personal Care","Checking Account"
"2025-03-17","Generic Transaction - Purchase",-126.81,"Personal Care","Credit Card"
"2025-03-17","Cloud Storage - Transfer",-56.67,"Subscription","Checking Account"
"2025-03-18","Generic Transaction - Transaction",-1353.94,"Travel","Checking Account"
"2025-03-19","Generic Transaction - Transfer",-277.6,"Insurance","Credit Card"
"2025-03-19","Amazon - Payment",-406.48,"Shopping","Checking Account"
"2025-03-20","Generic Transaction - Payment",-124.48,"Personal Care","Checking Account"
"2025-03-20","Generic Transaction - Transfer",-45.62,"Personal Care","Checking Account"
"2025-03-20","Uber - Transfer",-69.64,"Transportation","Checking Account"
"2025-03-20","Home Depot - Payment",-51.58,"Shopping","Checking Account"
"2025-03-21","Kroger - Transaction",-85.89,"Groceries","Checking Account"
"2025-03-21","Generic Transaction - Transaction",-136.57,"Insurance","Checking Account"
"2025-03-22","Pizza Hut - Purchase",-20.15,"Food & Dining","Checking Account"
"2025-03-23","Generic Transaction - Purchase",-36.02,"Personal Care","Checking Account"
"2025-03-23","Home Depot",-492.67,"Shopping","Checking Account"
"2025-03-24","Generic Transaction",-307.82,"Travel","Credit Card"
"2025-03-25","Walgreens - Transfer",-187.48,"Healthcare","Checking Account"
"2025-03-25","Generic Transaction - Transaction",-128.72,"Personal Care","Checking Account"
"2025-03-26","Water Utility - Transfer",-216.18,"Bills & Utilities","Checking Account"
"2025-03-28","Software License - Purchase",-25.77,"Subscription","Checking Account"
"2025-03-28","Metro Transit - Purchase",-20.1,"Transportation","Credit Card"
"2025-03-28","Generic Transaction - Payment",-136.47,"Personal Care","Credit Card"
"2025-03-29","Generic Transaction - Transfer",-416.69,"Education","Checking Account"
"2025-03-30","McDonalds - Payment",-37.87,"Food & Dining","Checking Account"
"2025-03-31","Electric Company - Transaction",-58.66,"Bills & Utilities","Checking Account"
"2025-04-01","CVS Pharmacy - Transfer",-298.62,"Healthcare","Checking Account"
"2025-04-01","Medical Clinic - Purchase",-288.75,"Healthcare","Checking Account"
"2025-04-01","Monthly Salary Deposit",5000,"Salary","Checking Account"
"2025-04-02","Generic Transaction - Transaction",-71.33,"Personal Care","Checking Account"
"2025-04-02","Phone Bill - Transaction",-198.4,"Bills & Utilities","Checking Account"
"2025-04-05","Dental Office - Purchase",-163.85,"Healthcare","Credit Card"
"2025-04-05","Hospital - Transaction",-380.17,"Healthcare","Checking Account"
"2025-04-05","Rent Payment - Apartment",-1500,"Rent/Mortgage","Checking Account"
"2025-04-08","Generic Transaction - Transfer",-588.5,"Travel","Checking Account"
"2025-04-10","Metro Transit - Purchase",-99.4,"Transportation","Checking Account"
"2025-04-10","Generic Transaction - Transaction",-1455.59,"Travel","Checking Account"
"2025-04-10","Apple Store",-136.74,"Shopping","Checking Account"
"2025-04-11","Generic Transaction",-73.78,"Personal Care","Credit Card"
"2025-04-11","Nordstrom",-261.84,"Shopping","Checking Account"
"2025-04-11","Gas Company - Purchase",-297.22,"Bills & Utilities","Checking Account"
"2025-04-12","Generic Transaction - Transfer",-226.23,"Gifts & Donations","Checking Account"
"2025-04-12","Generic Transaction - Purchase",-739.26,"Education","Checking Account"
"2025-04-12","Generic Transaction - Payment",355.37,"Other Income","Checking Account"
"2025-04-13","Generic Transaction",-225.53,"Education","Checking Account"
"2025-04-13","Amazon - Payment",-324.48,"Shopping","Checking Account"
"2025-04-13","Costco - Purchase",-94.76,"Groceries","Checking Account"
"2025-04-13","Monthly Salary - Payment",6481.78,"Salary","Checking Account"
"2025-04-15","Generic Transaction - Purchase",957.75,"Other Income","Credit Card"
"2025-04-15","Nike Store - Transaction",-477.77,"Shopping","Checking Account"
"2025-04-16","Client Project Payment",1044.3,"Freelance","Credit Card"
"2025-04-16","Disney+ - Transfer",-96.74,"Entertainment","Checking Account"
"2025-04-16","Home Depot - Purchase",-489.96,"Shopping","Credit Card"
"2025-04-17","Generic Transaction - Payment",-278.23,"Insurance","Checking Account"
"2025-04-17","Airlines - Payment",-95.52,"Transportation","Credit Card"
"2025-04-18","Medical Clinic - Payment",-445.61,"Healthcare","Checking Account"
"2025-04-20","Generic Transaction",-1057.9,"Travel","Credit Card"
"2025-04-21","Pizza Hut - Payment",-61.27,"Food & Dining","Credit Card"
"2025-04-22","Shell Gas Station - Payment",-92.21,"Transportation","Checking Account"
"2025-04-22","Dental Office",-372.17,"Healthcare","Credit Card"
"2025-04-22","Target - Transfer",-77.84,"Groceries","Checking Account"
"2025-04-23","Generic Transaction - Payment",-896.01,"Rent/Mortgage","Credit Card"
"2025-04-23","Generic Transaction - Transaction",-107.31,"Personal Care","Checking Account"
"2025-04-23","Contract Work - Transaction",2883.15,"Freelance","Checking Account"
"2025-04-23","Gas Company - Transaction",-98.7,"Bills & Utilities","Checking Account"
"2025-04-23","Generic Transaction",-441.73,"Insurance","Credit Card"
"2025-04-24","Phone Bill",-68.49,"Bills & Utilities","Checking Account"
"2025-04-24","Water Utility - Transaction",-166.17,"Bills & Utilities","Checking Account"
"2025-04-25","Generic Transaction - Purchase",-251.8,"Gifts & Donations","Credit Card"
"2025-04-25","Generic Transaction - Transfer",-980.07,"Education","Checking Account"
"2025-04-29","Amazon - Transfer",-456.05,"Shopping","Checking Account"
"2025-04-29","Contract Work - Purchase",1871.45,"Freelance","Checking Account"
"2025-04-29","Generic Transaction",-134.93,"Education","Checking Account"
"2025-04-29","Generic Transaction",-2791.04,"Rent/Mortgage","Checking Account"
"2025-04-30","Kroger - Transaction",-52.56,"Groceries","Checking Account"
"2025-05-01","Costco - Transfer",-55.38,"Groceries","Checking Account"
"2025-05-01","Internet Provider - Payment",-94.53,"Bills & Utilities","Checking Account"
"2025-05-01","Generic Transaction - Transfer",-2861.01,"Rent/Mortgage","Credit Card"
"2025-05-01","Monthly Salary Deposit",5000,"Salary","Checking Account"
"2025-05-02","Generic Transaction - Transaction",-473.87,"Education","Checking Account"
"2025-05-03","Phone Bill",-177.66,"Bills & Utilities","Credit Card"
"2025-05-03","Generic Transaction",-125.75,"Personal Care","Checking Account"
"2025-05-04","Generic Transaction - Transfer",-505.59,"Travel","Checking Account"
"2025-05-05","Generic Transaction - Transfer",-114.66,"Personal Care","Checking Account"
"2025-05-05","Rent Payment - Apartment",-1500,"Rent/Mortgage","Checking Account"
"2025-05-06","Generic Transaction - Payment",292.31,"Other Income","Credit Card"
"2025-05-06","Whole Foods",-188.89,"Groceries","Checking Account"
"2025-05-08","Red Lobster - Purchase",-52.08,"Food & Dining","Checking Account"
"2025-05-08","Generic Transaction",-812.96,"Travel","Checking Account"
"2025-05-08","Generic Transaction - Purchase",-147.42,"Gifts & Donations","Checking Account"
"2025-05-10","Generic Transaction - Purchase",-219.69,"Education","Checking Account"
"2025-05-10","Generic Transaction - Payment",-965.98,"Education","Credit Card"
"2025-05-10","Generic Transaction - Purchase",-908.7,"Travel","Checking Account"
"2025-05-11","Generic Transaction - Transfer",-346.03,"Travel","Checking Account"
"2025-05-11","Shell Gas Station - Payment",-65.36,"Transportation","Checking Account"
"2025-05-13","Generic Transaction - Transfer",-1158.69,"Travel","Checking Account"
"2025-05-13","Generic Transaction - Transaction",-241.46,"Insurance","Credit Card"
"2025-05-13","Generic Transaction - Payment",-497.45,"Education","Checking Account"
"2025-05-15","Kroger - Purchase",-207.03,"Groceries","Checking Account"
"2025-05-15","Generic Transaction - Purchase",-32.63,"Personal Care","Checking Account"
"2025-05-16","Generic Transaction - Purchase",-615.04,"Education","Checking Account"
"2025-05-16","Generic Transaction - Purchase",-455.57,"Education","Checking Account"
"2025-05-17","Cloud Storage - Transaction",-64.73,"Subscription","Checking Account"
"2025-05-17","Generic Transaction - Transfer",-123.9,"Gifts & Donations","Credit Card"
"2025-05-18","Generic Transaction",-126.62,"Personal Care","Checking Account"
"2025-05-18","Generic Transaction - Transaction",-1475.6,"Travel","Checking Account"
"2025-05-19","Monthly Salary",3715.97,"Salary","Checking Account"
"2025-05-19","Gym Membership - Transfer",-14.92,"Subscription","Checking Account"
"2025-05-19","Performance Bonus - Payment",5192.97,"Salary","Checking Account"
"2025-05-19","Whole Foods - Payment",-81.65,"Groceries","Checking Account"
"2025-05-21","Red Lobster - Transaction",-49.1,"Food & Dining","Checking Account"
"2025-05-21","CVS Pharmacy - Payment",-22.53,"Healthcare","Checking Account"
"2025-05-21","Generic Transaction - Purchase",-636.39,"Education","Checking Account"
"2025-05-21","Chevron",-70.55,"Transportation","Checking Account"
"2025-05-22","Generic Transaction - Transaction",-1716.62,"Rent/Mortgage","Checking Account"
"2025-05-22","Generic Transaction - Purchase",-368.12,"Insurance","Credit Card"
"2025-05-23","Generic Transaction - Transfer",-137.66,"Personal Care","Checking Account"
"2025-05-23","Generic Transaction - Purchase",-420.94,"Travel","Checking Account"
"2025-05-24","CVS Pharmacy",-298.38,"Healthcare","Checking Account"
"2025-05-24","AMC Theaters",-144.27,"Entertainment","Checking Account"
"2025-05-25","Magazine Subscription",-65.19,"Subscription","Credit Card"
"2025-05-27","Software License - Purchase",-52.18,"Subscription","Checking Account"
"2025-05-27","Generic Transaction - Payment",-83.5,"Gifts & Donations","Credit Card"
"2025-05-28","McDonalds - Purchase",-23.62,"Food & Dining","Checking Account"
"2025-05-28","Trader Joes",-112.64,"Groceries","Checking Account"
"2025-05-29","Generic Transaction",-23.87,"Personal Care","Checking Account"
"2025-05-29","Generic Transaction",-1981.73,"Rent/Mortgage","Checking Account"
"2025-05-30","Contract Work - Payment",2169.05,"Freelance","Checking Account"
"2025-05-30","Nordstrom - Payment",-275.65,"Shopping","Checking Account"
"2025-05-31","Generic Transaction - Transaction",-822.55,"Education","Checking Account"
"2025-06-01","Monthly Salary Deposit",5000,"Salary","Checking Account"
"2025-06-02","Walgreens - Transaction",-130.12,"Healthcare","Checking Account"
"2025-06-02","Nordstrom - Transaction",-36.82,"Shopping","Checking Account"
"2025-06-02","Monthly Salary - Purchase",5385.93,"Salary","Checking Account"
"2025-06-04","Nordstrom - Payment",-37.88,"Shopping","Checking Account"
"2025-06-04","Generic Transaction - Transaction",-1468.12,"Travel","Checking Account"
"2025-06-05","Stock Dividend - Purchase",480.22,"Investments","Credit Card"
"2025-06-05","Phone Bill - Transaction",-234.38,"Bills & Utilities","Checking Account"
"2025-06-05","Rent Payment - Apartment",-1500,"Rent/Mortgage","Checking Account"
"2025-06-08","Disney+ - Transfer",-95.94,"Entertainment","Checking Account"
"2025-06-08","Walmart - Transfer",-221.98,"Groceries","Credit Card"
"2025-06-10","Interest Payment - Payment",890.46,"Investments","Checking Account"
"2025-06-11","Medical Clinic - Purchase",-214.67,"Healthcare","Checking Account"
"2025-06-12","Internet Provider - Transaction",-247.55,"Bills & Utilities","Checking Account"
"2025-06-12","Chipotle - Transfer",-47.91,"Food & Dining","Checking Account"
"2025-06-13","Generic Transaction - Purchase",-132.81,"Personal Care","Checking Account"
"2025-06-13","Generic Transaction - Purchase",-332.3,"Travel","Checking Account"
"2025-06-14","Generic Transaction - Payment",-697.99,"Education","Checking Account"
"2025-06-15","Generic Transaction - Payment",-903.61,"Travel","Checking Account"
"2025-06-17","Generic Transaction",-868.84,"Travel","Credit Card"
"2025-06-18","Generic Transaction",-109.48,"Travel","Checking Account"
"2025-06-18","Generic Transaction - Transaction",-657.36,"Education","Credit Card"
"2025-06-19","McDonalds",-46.36,"Food & Dining","Checking Account"
"2025-06-20","Generic Transaction - Transaction",-217.78,"Education","Checking Account"
"2025-06-21","Generic Transaction - Payment",-113.58,"Personal Care","Checking Account"
"2025-06-22","Bi-weekly Paycheck",5755.12,"Salary","Checking Account"
"2025-06-22","Generic Transaction - Purchase",-293.93,"Education","Checking Account"
"2025-06-23","Generic Transaction - Transfer",-27.74,"Personal Care","Checking Account"
"2025-06-24","Olive Garden",-19.31,"Food & Dining","Checking Account"
"2025-06-24","Generic Transaction - Payment",-993.93,"Rent/Mortgage","Checking Account"
"2025-06-24","Generic Transaction - Transaction",-320.34,"Education","Checking Account"
"2025-06-26","Hospital - Transfer",-499.35,"Healthcare","Credit Card"
"2025-06-26","Nordstrom",-282.68,"Shopping","Checking Account"
"2025-06-27","Generic Transaction - Transfer",-919.43,"Rent/Mortgage","Checking Account"
"2025-06-27","Generic Transaction - Transfer",-112.81,"Gifts & Donations","Checking Account"
"2025-06-27","Olive Garden - Purchase",-18.78,"Food & Dining","Checking Account"
"2025-06-27","Generic Transaction",148.38,"Other Income","Checking Account"
"2025-06-27","Metro Transit - Payment",-23.75,"Transportation","Checking Account"
"2025-06-27","Generic Transaction - Payment",-49.62,"Personal Care","Checking Account"
"2025-06-28","Subway - Purchase",-62.16,"Food & Dining","Checking Account"
"2025-06-28","Chevron - Transfer",-58.34,"Transportation","Checking Account"
"2025-06-29","Generic Transaction - Payment",-161.51,"Education","Checking Account"
"2025-06-29","Generic Transaction - Transaction",-1228.59,"Rent/Mortgage","Checking Account"
"2025-06-29","Generic Transaction",-257.6,"Gifts & Donations","Credit Card"
"2025-06-30","Investment Return - Transaction",623.96,"Investments","Checking Account"
"2025-06-30","Generic Transaction",-81.85,"Personal Care","Credit Card"
"2025-06-30","Whole Foods - Purchase",-155.96,"Groceries","Credit Card"
"2025-07-01","Apple Store",-357.49,"Shopping","Checking Account"
"2025-07-01","Lyft - Purchase",-84.15,"Transportation","Credit Card"
"2025-07-01","Cloud Storage - Transaction",-50.55,"Subscription","Checking Account"
"2025-07-01","Monthly Salary Deposit",5000,"Salary","Checking Account"
"2025-07-02","Monthly Salary - Payment",4804.89,"Salary","Checking Account"
"2025-07-03","Generic Transaction - Payment",-2825.18,"Rent/Mortgage","Checking Account"
"2025-07-04","Generic Transaction",-109.36,"Gifts & Donations","Checking Account"
"2025-07-04","Hospital",-421.97,"Healthcare","Checking Account"
"2025-07-04","Generic Transaction - Transaction",-2196.24,"Rent/Mortgage","Credit Card"
"2025-07-04","Client Project Payment - Payment",1331.19,"Freelance","Checking Account"
"2025-07-05","Rent Payment - Apartment",-1500,"Rent/Mortgage","Checking Account"
"2025-07-06","Generic Transaction - Payment",659.62,"Other Income","Credit Card"
"2025-07-09","Home Depot",-426.79,"Shopping","Checking Account"
"2025-07-11","Generic Transaction - Transfer",-83.61,"Gifts & Donations","Checking Account"
"2025-07-11","Generic Transaction - Transfer",656.66,"Other Income","Checking Account"
"2025-07-11","Generic Transaction - Purchase",-1777.98,"Rent/Mortgage","Credit Card"
"2025-07-12","AMC Theaters - Purchase",-109.4,"Entertainment","Checking Account"
"2025-07-13","Generic Transaction - Purchase",-51.37,"Gifts & Donations","Checking Account"
"2025-07-13","Generic Transaction - Payment",-369.17,"Insurance","Checking Account"
"2025-07-13","Generic Transaction",-76.39,"Personal Care","Checking Account"
"2025-07-14","Generic Transaction - Purchase",-385.95,"Insurance","Checking Account"
"2025-07-15","Disney+ - Payment",-107.66,"Entertainment","Credit Card"
"2025-07-16","Generic Transaction - Transaction",-2635.3,"Rent/Mortgage","Checking Account"
"2025-07-17","Generic Transaction - Transaction",-2304.28,"Rent/Mortgage","Credit Card"
"2025-07-18","Generic Transaction",-183.76,"Education","Checking Account"
"2025-07-18","Generic Transaction - Purchase",-20.5,"Personal Care","Checking Account"
"2025-07-19","Generic Transaction - Purchase",-2240.67,"Rent/Mortgage","Credit Card"
"2025-07-20","Generic Transaction",-221.41,"Insurance","Credit Card"
"2025-07-22","Consulting Fee - Payment",2074.73,"Freelance","Credit Card"
"2025-07-24","Dental Office - Purchase",-206.32,"Healthcare","Checking Account"
"2025-07-24","Dental Office",-328.52,"Healthcare","Checking Account"
"2025-07-24","Chipotle - Transaction",-64.34,"Food & Dining","Checking Account"
"2025-07-24","Lyft - Transfer",-51.38,"Transportation","Checking Account"
"2025-07-25","Generic Transaction - Payment",-1778.78,"Rent/Mortgage","Checking Account"
"2025-07-25","Chevron - Transfer",-95.19,"Transportation","Credit Card"
"2025-07-25","Costco - Purchase",-78.31,"Groceries","Checking Account"
"2025-07-25","Concert Tickets - Payment",-106.94,"Entertainment","Checking Account"
"2025-07-26","Nordstrom - Purchase",-162.06,"Shopping","Checking Account"
"2025-07-26","Generic Transaction - Payment",-292.07,"Gifts & Donations","Checking Account"
"2025-07-27","Generic Transaction - Payment",-24.07,"Personal Care","Checking Account"
"2025-07-27","Generic Transaction - Transfer",-1341.64,"Rent/Mortgage","Checking Account"
"2025-07-27","Gym Membership - Transfer",-6.95,"Subscription","Checking Account"
"2025-07-30","Chevron",-33.32,"Transportation","Checking Account"
"2025-07-30","Dental Office - Purchase",-390.55,"Healthcare","Checking Account"
"2025-07-30","Software License",-95.17,"Subscription","Credit Card"
"2025-07-31","Gaming Store - Purchase",-50.12,"Entertainment","Credit Card"
"2025-07-31","Trader Joes - Payment",-206,"Groceries","Checking Account"
"2025-07-31","Magazine Subscription",-20.64,"Subscription","Checking Account"
"2025-08-01","Consulting Fee - Payment",1944.52,"Freelance","Checking Account"
"2025-08-02","Generic Transaction - Transfer",642.27,"Other Income","Checking Account"
"2025-08-02","Nordstrom - Payment",-247.35,"Shopping","Checking Account"
"2025-08-02","Shell Gas Station - Payment",-33.21,"Transportation","Checking Account"
"2025-08-02","Walgreens",-139.44,"Healthcare","Checking Account"
"2025-08-03","Generic Transaction - Transaction",-251.74,"Gifts & Donations","Checking Account"
"2025-08-03","Generic Transaction - Transfer",-349.14,"Travel","Checking Account"
"2025-08-05","Generic Transaction - Payment",-24.68,"Personal Care","Checking Account"
"2025-08-07","Generic Transaction",-265.14,"Gifts & Donations","Checking Account"
"2025-08-08","Generic Transaction - Purchase",-278.97,"Gifts & Donations","Credit Card"
"2025-08-09","Generic Transaction",-215.91,"Gifts & Donations","Checking Account"
"2025-08-09","Generic Transaction - Purchase",-623.16,"Education","Checking Account"
"2025-08-09","Generic Transaction",-441.07,"Insurance","Checking Account"
"2025-08-10","Magazine Subscription",-26.51,"Subscription","Credit Card"
"2025-08-10","Generic Transaction - Transfer",-846.58,"Travel","Checking Account"
"2025-08-12","Shell Gas Station - Purchase",-62.58,"Transportation","Checking Account"
"2025-08-12","Gaming Store - Payment",-81.48,"Entertainment","Checking Account"
"2025-08-12","Red Lobster",-28.33,"Food & Dining","Checking Account"
"2025-08-13","Chipotle - Purchase",-63.38,"Food & Dining","Credit Card"
"2025-08-13","Generic Transaction - Transfer",-76.36,"Personal Care","Checking Account"
"2025-08-13","Generic Transaction",-464.48,"Insurance","Checking Account"
